25227,328,627,356
25243,336,652,329
25259,354,538,385
25275,273,544,366
25290,482,571,356
25306,281,594,386
25322,345,301,364
25337,686,81,376
25354,275,611,399
25370,316,280,381
25385,398,223,415
25401,482,436,427
25417,507,376,405
25433,468,571,322
25449,504,563,356
25464,499,364,349
25480,502,366,328
25496,353,541,327
25512,395,389,330
25528,377,291,353
25544,374,672,380
25559,478,303,357
25575,305,647,364
25591,287,402,392
25607,330,608,355
25623,316,431,336
25638,478,429,356
25654,286,215,349
25670,307,332,343
25686,433,470,333
25702,479,629,376
25718,289,334,367
25733,626,578,355
25749,567,544,357
25765,276,247,370
25781,648,551,363
25797,566,604,348
25812,354,281,358
25828,784,627,353
25844,296,622,344
25860,249,642,320
25876,683,538,362
25892,288,324,363
25907,393,427,352
25923,250,568,390
25939,537,560,374
25955,427,601,340
25971,608,266,353
25986,338,597,364
26002,481,607,353
26018,687,256,365
26034,374,269,340
26050,378,364,371
26066,493,380,383
26081,493,586,380
26097,489,543,386
26113,511,391,359
26129,491,651,355
26145,356,627,321
26160,316,440,335
26176,334,401,304
26192,391,338,361
26208,330,266,364
26224,337,479,322
26240,336,154,377
26255,344,340,397
26271,405,390,375
26287,592,467,414
26303,396,266,411
26319,652,658,383
26334,286,426,377
26350,236,278,381
26366,402,234,375
26382,443,254,364
26398,514,596,334
26414,502,551,303
26429,511,520,322
26445,484,535,296
26461,509,568,327
26477,512,280,341
26492,513,94,349
26508,372,646,376
26524,264,630,392
26540,371,277,340
26556,438,344,375
26572,363,566,454
26588,284,538,379
26603,334,294,373
26619,413,559,365
26635,671,554,373
26651,268,524,385
26667,383,571,375
26682,485,191,368
26698,459,503,395
26714,636,486,401
26730,462,513,393
26746,503,569,404
26762,519,541,404
26777,502,351,412
26793,497,559,426
26809,450,481,414
26825,407,435,404
26841,352,400,400
26856,362,360,391
26872,705,533,389
26888,311,620,365
26904,355,621,344
26920,461,280,336
26936,329,545,403
26951,325,618,385
26967,416,609,413
26983,492,646,389
26999,588,662,384
27015,329,567,378
27030,316,608,399
27046,446,366,379
27062,467,281,376
27078,487,410,359
27094,416,238,366
27109,500,605,400
27125,510,462,371
27141,473,354,389
27157,443,630,399
27173,430,648,408
27189,347,375,406
27204,681,644,374
27220,618,466,424
27236,447,598,427
27252,353,553,378
27268,453,551,384
27283,389,532,380
27299,440,570,397
27315,285,587,416
