17956,12,200
25889,427,433,589
25905,637,304,164
25921,460,562,140
25937,518,474,308
25953,425,502,148
25969,436,528,117
25983,261,514,97
26000,288,513,186
26016,241,524,132
26032,353,608,164
26048,648,528,221
26061,291,6,141
26079,533,401,629
26095,299,685,174
26112,294,1019,174
26127,321,623,144
26142,263,526,127
26158,362,963,274
26174,286,569,183
26188,501,6,576
26206,284,443,151
26221,300,503,118
26237,413,959,443
26252,269,411,86
26269,592,754,165
26285,319,626,114
26302,309,1018,159
26316,466,348,130
26332,604,555,197
26348,414,249,200
26364,243,580,240
26380,368,533,216
26395,214,305,167
26411,562,571,171
26427,339,214,165
26443,398,562,147
26459,554,528,163
26475,631,472,155
26490,499,523,173
26506,312,513,157
26522,651,514,111
26538,351,538,154
26554,369,524,171
26569,439,617,144
26585,499,450,157
26601,511,769,204
26617,393,223,164
26633,607,476,112
26649,554,507,105
26664,399,512,112
26680,464,363,138
26696,543,369,569
26712,398,834,177
26728,372,553,214
26744,391,524,188
26759,478,507,616
26775,523,204,186
26792,349,1019,297
26807,349,373,198
26823,317,745,149
26838,499,541,133
26854,253,569,174
26870,582,520,445
26886,245,561,188
26902,272,356,144
26918,372,759,147
26933,506,656,424
26949,324,578,111
26964,592,34,119
26980,278,671,91
26997,290,540,197
27012,381,401,148
27028,253,537,109
27044,281,528,135
27060,230,510,176
27076,237,514,173
27091,514,533,345
27107,627,558,139
27123,303,538,168
27139,244,402,172
27155,476,522,569
27171,239,513,154
27186,589,515,610
27202,389,506,136
27218,288,513,698
27234,303,499,627
27250,333,521,145
27265,341,354,121
27280,401,613,97
27297,371,544,144
27313,345,597,116
27329,301,541,172
27345,338,568,111
27359,342,555,69
27376,354,452,195
27390,333,6,188
27408,369,448,228
27423,314,676,182
27439,327,533,212
27455,329,442,183
27471,307,523,157
27486,326,55,173
27503,319,454,210
27518,411,611,170
27534,317,979,119
27550,420,572,154
27566,277,533,151
27582,272,516,144
27597,323,517,163
27613,431,334,155
27629,483,490,542
27644,256,691,92
27661,286,597,175
27676,560,300,122
27690,283,6,136
27707,327,33,354
27724,281,188,168
27740,612,497,153
27755,522,564,565
27770,313,558,89
27787,441,523,382
27803,233,439,170
27819,388,521,208
27834,374,312,168
27850,351,421,173
27866,336,552,187
27882,412,519,417
27898,233,474,150
27914,217,513,192
27936,357,491,183
27946,359,521,123
27961,592,513,207
27977,395,354,285
28004,311,773,106
28015,346,267,400
28025,421,218,468
28040,338,414,138
28091,390,909,184
28102,347,562,136
28112,334,518,143
28123,361,253,118
