5957,12,136
16706,511,687,251
16722,512,324,199
16738,510,223,232
16754,615,333,183
16769,425,708,163
16785,489,537,165
16801,491,515,166
16817,457,207,212
16833,441,698,160
16849,485,632,168
16864,509,527,154
16880,513,515,482
16896,450,123,156
16912,490,602,112
16927,508,50,142
16943,511,453,371
16959,508,505,223
16975,509,510,174
16991,493,512,149
17007,509,512,117
17023,464,513,136
17038,510,749,144
17054,508,542,311
17070,506,516,334
17086,487,513,264
17102,449,512,198
17117,503,512,278
17133,500,513,216
17149,511,525,192
17165,507,514,532
17181,508,190,136
17197,509,472,168
17212,511,506,258
17228,423,511,159
17244,494,513,252
17260,397,751,122
17276,469,542,457
17291,506,516,160
17306,507,54,744
17323,656,286,577
17339,412,193,137
17355,447,810,109
17371,397,642,153
17384,481,6,136
17402,561,405,710
17418,384,498,100
17434,387,510,346
17450,406,735,118
17465,525,540,639
17480,397,384,74
17497,499,539,354
17513,502,516,703
17529,498,513,621
17544,508,543,191
17560,514,459,441
17576,423,147,667
17592,489,467,157
17608,504,507,611
17623,506,710,169
17639,511,537,410
17655,396,515,231
17671,497,513,182
17687,510,513,117
17703,435,599,157
17718,479,322,133
17734,506,488,257
17750,513,509,128
17766,517,512,148
17782,392,513,460
17797,488,727,117
17813,507,539,171
17827,442,6,124
17845,448,401,219
17861,492,498,100
17876,579,1019,85
17892,462,591,593
17907,507,522,94
17924,501,276,190
17940,433,483,147
17956,446,509,107
17971,473,512,103
17986,417,513,94
18003,476,512,132
18019,457,512,340
18035,478,513,223
18050,487,510,120
18076,511,531,191
18086,508,667,113
18098,437,532,211
18114,696,515,516
18129,541,513,711
18145,624,512,122
18161,395,512,122
18175,380,21,82
18204,521,449,202
18215,390,504,100
18225,397,512,179
18240,496,513,653
18256,748,512,624
18296,448,512,288
18307,488,509,584
18317,508,511,320
18327,440,510,650
18337,410,847,132
18351,497,555,138
18367,510,520,267
18382,511,164,182
18398,509,401,425
18414,416,934,706
18430,402,231,335
18446,380,452,522
18461,486,505,91
18477,373,511,129
18493,429,512,117
18509,449,513,128
18525,404,513,671
18541,442,512,155
18557,388,1018,137
18572,366,602,580
18587,445,523,59
18604,389,514,149
18620,480,513,208
18636,427,512,236
18651,444,512,128
18667,496,511,150
18683,421,454,361
18699,721,748,156
18715,385,466,137
18730,495,381,195
18746,459,527,410
18760,502,6,194
18778,471,427,255
18794,502,501,702
18809,499,511,223
18825,499,513,179
18841,487,512,308
18858,599,1018,240
18873,418,605,290
18889,470,524,223
18904,502,399,694
18920,521,321,209
18936,511,898,218
18952,509,152,249
18968,550,397,501
